Oceans,Regions,Latitude,Longitude,Date,Concentration,is_hotspot,year,month,day,day_of_year,week_of_year,quarter,season,month_sin,month_cos,day_sin,day_cos,days_since_start,years_since_start,lat_rad,lon_rad,x,y,z,lat_bin,lon_bin,spatial_grid,distance_from_equator,distance_from_prime_meridian,northern_hemisphere,eastern_hemisphere,coastal_proxy,Oceans_encoded,Oceans_Pacific,Oceans_Atlantic,Oceans_Indian,Oceans_Arctic,Oceans_Southern,Regions_encoded,Regions_North Pacific,Regions_South Atlantic,Regions_North Atlantic,Regions_North Indian,Regions_Antarctic,is_pacific,is_atlantic,is_indian,is_arctic,is_southern,ocean_basin,water_body_type,distance_to_pacific_gyre,distance_to_atlantic_gyre,distance_to_great_barrier_reef,distance_to_mediterranean_center,distance_to_north_pole,distance_to_equator_center,nearest_neighbor_distance,distance_to_centroid,lat_month_interaction,lon_season_interaction,gyre_distance_season,lat_lon_product,coord_magnitude,spatial_Latitude_count,spatial_Latitude_mean,spatial_Latitude_std,spatial_Longitude_mean,spatial_Longitude_std,spatial_year_min,spatial_year_max,spatial_year_nunique,monthly_Latitude_count,monthly_Latitude_mean,monthly_Longitude_mean
Atlantic,South Atlantic,-26.72988069718565,3.815511748336376,2010-01-01 00:00:00.000000000,2.745038683863368,0,2010,1,1,1,53,1,winter,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0,0.0,-0.46652442683116696,0.06659324265699504,5677.563107273915,378.64722715205494,-2865.579250394626,5,10,110,26.72988069718565,3.815511748336376,0,1,8706.370159316915,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Atlantic_Basin,Temperate,16462.13153892402,7843.146116397018,13649.60749960198,7073.222415485334,12979.770521351651,3000.1465545882597,106.66724211829808,4292.797273997785,-26.72988069718565,3.815511748336376,16462.13153892402,-101.98817383174156,27.000826875995315,13,-25.228292309851916,1.6587781902084466,4.9416256611199305,3.3412073235585114,2010,2023,9,171,9.855214768686333,-2.1158080836277118
Southern,Arctic,48.31831670194817,-11.326168104446593,2010-01-03 13:22:28.874437218,5.393220402419021,0,2010,1,3,3,53,1,winter,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,2,0.0054757015742642025,0.8433137154703632,-0.19767892505695805,4154.152961095167,-832.0548897470801,4758.186507091987,16,9,329,48.31831670194817,11.326168104446593,1,0,890.2003468616675,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Atlantic_Basin,Temperate,9446.282729253653,3170.6210461363266,16116.263104301608,2546.463989572681,4634.791716748602,5482.392591939238,147.7430308121665,4219.350038197051,48.31831670194817,-11.326168104446593,9446.282729253653,-547.2613774901545,49.62803454540535,20,47.40488421799335,1.852525004034924,-6.622790303163535,5.031851334424861,2010,2023,12,171,9.855214768686333,-2.1158080836277118
Indian,North Atlantic,-19.439830205901455,147.53651069954174,2010-01-06 02:44:57.748874437,16.655153052119644,1,2010,1,6,6,1,1,winter,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,5,0.013689253935660506,-0.3392890431216276,2.5749978786108456,-5068.982222652327,3224.7585808824306,-2120.3755142568025,6,18,138,19.439830205901455,147.53651069954174,0,1,1648.2103311319622,2,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,Pacific_Basin,Tropical,9740.808648178046,18616.706812795248,169.77856873655585,15050.008891246194,12169.153891738175,15869.200640837034,235.33055807834495,17042.039647121117,-19.439830205901455,147.53651069954174,9740.808648178046,-2868.0847171702544,148.81172328761693,3,-18.11423655688999,2.40928351923417,150.80159650712253,3.8798450282123653,2010,2022,3,171,9.855214768686333,-2.1158080836277118
Atlantic,Arctic,39.29975084881188,-127.47938565518128,2010-01-08 16:07:26.623311655,5.4779349709290095,0,2010,1,8,8,1,1,winter,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,7,0.019164955509924708,0.6859100475252036,-2.224935008102542,-2999.8798510964402,-3912.433340583938,4035.248100733436,15,2,302,39.29975084881188,127.47938565518128,1,0,1015.2557618255753,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Atlantic_Basin,Temperate,1206.9096948377041,7755.541317329017,10891.132029079903,10801.21317711597,5637.610485227215,13131.058855160321,214.17567304814307,11797.918189024263,39.29975084881188,-127.47938565518128,1206.9096948377041,-5009.908094608228,133.3996408683364,30,39.77929474376851,1.5305836741923746,-135.53164533523608,5.288189932216005,2010,2023,12,171,9.855214768686333,-2.1158080836277118
Pacific,South Atlantic,-31.65997229440038,-16.076320441371735,2010-01-11 05:29:55.497748874,3.217561491212693,0,2010,1,11,11,2,1,winter,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,10,0.02737850787132101,-0.5525707576274701,-0.2805847233076048,5210.787172997368,-1501.6837538838347,-3343.9922160566484,4,9,89,31.65997229440038,16.076320441371735,0,0,9381.416788442633,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Atlantic_Basin,Temperate,14860.582134870956,7306.496658073233,14205.53567759413,8191.045337246977,13527.9716948549,3905.8012935440934,148.62877035951567,4814.366462108009,-31.65997229440038,-16.076320441371735,14860.582134870956,508.9758597697316,35.50777273521766,22,-30.696135387663507,1.6518539246898247,-8.34452270758155,4.665291239063298,2010,2021,9,171,9.855214768686333,-2.1158080836277118
Pacific,South Indian,56.67614856408602,160.81484941219975,2010-01-13 18:52:24.372186093,18.99779618397929,1,2010,1,13,13,2,1,winter,0.49999999999999994,0.8660254037844387,0.22192151300416552,0.9750645322571948,12,0.03285420944558522,0.9891853997927574,2.806748608341753,-3305.653999507628,1150.1899780657882,5323.472142304892,17,18,358,56.67614856408602,160.81484941219975,1,1,2817.796365418054,3,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,Pacific_Basin,Temperate,4979.486378803398,10179.121752062034,8403.241357919282,9218.839519884503,3705.443215930629,13483.027715592367,329.87274060930355,12439.504611387832,56.67614856408602,160.81484941219975,4979.486378803398,9114.366296596954,170.5098284777943,7,54.11845796275897,2.452836184688302,154.3061352355423,6.028927604218823,2010,2021,7,171,9.855214768686333,-2.1158080836277118
Pacific,Antarctic,41.24524317968354,146.53501572085767,2010-01-16 08:14:53.246623311,28.53391147597245,1,2010,1,16,16,2,1,winter,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,15,0.04106776180698152,0.7198652942712129,2.5575184937906186,-3996.1951336977368,2641.5131211898115,4200.294499674111,15,18,318,41.24524317968354,146.53501572085767,1,1,856.322734929086,3,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,Indian_Basin,Temperate,6271.02418560894,12064.532006783898,6587.9450472310145,10108.40096255032,5421.281608208389,14327.172066383797,37.4058778252763,13612.052476446133,41.24524317968354,146.53501572085767,6271.02418560894,6043.872357745526,152.22904097859657,8,40.555152096794906,1.7272855498565767,149.32761758292963,5.1792740836631195,2010,2023,7,171,9.855214768686333,-2.1158080836277118
Arctic,South Pacific,-20.854402057330557,93.5681000858283,2010-01-18 21:37:22.121060530,1.5956367553634896,0,2010,1,18,18,3,1,winter,0.49999999999999994,0.8660254037844387,0.30492122465628907,0.9523775757303974,17,0.04654346338124572,-0.36397797943509747,1.6330714213332929,-370.5228697383387,5942.082671852435,-2268.0404149555816,6,15,135,20.854402057330557,93.5681000858283,0,1,5797.201822718476,4,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,Indian_Basin,Tropical,14589.608023637844,15275.136239700225,5586.986266955856,10386.225506076064,12326.447104991294,10378.275457518146,62.661318864940526,11438.603894963426,-20.854402057330557,93.5681000858283,14589.608023637844,-1951.3067789304093,95.86394232890892,24,-17.428890664221875,2.025342175123926,95.58723217555716,4.1708892964142015,2010,2023,9,171,9.855214768686333,-2.1158080836277118
Indian,Antarctic,60.61530801420052,-60.24362406447907,2010-01-21 10:59:50.995497748,8.141112593835366,0,2010,1,21,21,3,1,winter,0.49999999999999994,0.8660254037844387,0.3536761221763716,0.9353679493131483,20,0.05475701574264202,1.0579367019583048,-1.0514495932588486,1551.5069306213982,-2713.873069599976,5551.338595900431,18,6,366,60.61530801420052,60.24362406447907,1,0,2406.12935669075,2,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,Atlantic_Basin,Temperate,6133.715568574609,3719.5786697140834,14807.687470884279,5801.419954116239,3267.428669833926,8440.276764756481,428.1658042286828,7075.185736646758,60.61530801420052,-60.24362406447907,6133.715568574609,-3651.6858285601015,85.46057457142845,1,60.61530801420052,0.0,-60.24362406447907,0.0,2010,2010,1,171,9.855214768686333,-2.1158080836277118
Indian,Antarctic,34.01115811081201,-114.15973044347716,2010-01-24 00:22:19.869934967,0.5116223296866038,0,2010,1,24,24,3,1,winter,0.49999999999999994,0.8660254037844387,0.401487989205973,0.9158642882672872,23,0.06297056810403832,0.5936066914500441,-1.9924631694278827,-2161.460268044149,-4818.521965359018,3563.6465283497428,14,3,283,34.01115811081201,114.15973044347716,1,0,372.4047865205303,2,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,Atlantic_Basin,Temperate,2363.7720538381213,6849.599427981022,11908.742115743116,10611.809631169157,6225.675166782056,12212.775467981788,74.4016341157553,10948.03294864978,34.01115811081201,-114.15973044347716,2363.7720538381213,-3882.704642000781,119.11844076785937,40,33.86665913139119,1.9352540574975083,-118.76315658081111,5.015255194900284,2010,2023,14,171,9.855214768686333,-2.1158080836277118
